question_id,cell,gt,condition,template,pred,logit_yes,logit_no,margin,tie,correct,image1_id,image2_id,seq_len,img1_span,img2_span,elapsed_ms,ts
2160,3,no,S,primary,no,25.0,26.0,-1.0,False,True,279499,436582,382,,,205,2026-08-11T13:22:09+09:00
2160,3,no,T0,primary,no,24.75,25.625,-0.875,False,True,279499,436582,730,"[14, 360]","[361, 707]",474,2026-08-11T13:22:09+09:00
2692,3,no,S,primary,no,24.5,30.25,-5.75,False,True,265472,580608,270,,,134,2026-08-11T13:22:10+09:00
2692,3,no,T0,primary,no,25.375,28.5,-3.125,False,True,265472,580608,618,"[14, 249]","[250, 596]",374,2026-08-11T13:22:10+09:00
2740,3,no,S,primary,no,25.0,32.0,-7.0,False,True,50627,346482,427,,,250,2026-08-11T13:22:10+09:00
2740,3,no,T0,primary,no,24.875,29.125,-4.25,False,True,50627,346482,664,"[14, 406]","[407, 642]",428,2026-08-11T13:22:11+09:00
628,3,no,S,primary,no,24.5,27.5,-3.0,False,True,94944,487002,382,,,205,2026-08-11T13:22:11+09:00
628,3,no,T0,primary,no,24.75,27.25,-2.5,False,True,94944,487002,776,"[14, 360]","[361, 753]",519,2026-08-11T13:22:12+09:00
986,3,no,S,primary,no,25.25,30.375,-5.125,False,True,460931,267664,520,,,301,2026-08-11T13:22:12+09:00
986,3,no,T0,primary,no,25.125,28.625,-3.5,False,True,460931,267664,868,"[14, 499]","[500, 846]",598,2026-08-11T13:22:13+09:00
2038,3,no,S,primary,no,24.75,31.25,-6.5,False,True,363908,383163,381,,,203,2026-08-11T13:22:13+09:00
2038,3,no,T0,primary,no,25.125,28.625,-3.5,False,True,363908,383163,775,"[14, 360]","[361, 753]",519,2026-08-11T13:22:13+09:00
1232,3,no,S,primary,no,25.75,25.875,-0.125,False,True,49473,116479,254,,,122,2026-08-11T13:22:13+09:00
1232,3,no,T0,primary,yes,26.25,25.5,0.75,False,False,49473,116479,602,"[14, 231]","[232, 578]",352,2026-08-11T13:22:14+09:00
1562,3,no,S,primary,no,24.625,31.75,-7.125,False,True,408757,319830,335,,,182,2026-08-11T13:22:14+09:00
1562,3,no,T0,primary,no,24.875,28.375,-3.5,False,True,408757,319830,729,"[14, 314]","[315, 707]",483,2026-08-11T13:22:15+09:00
136,3,no,S,primary,no,25.125,25.875,-0.75,False,True,516916,355214,427,,,246,2026-08-11T13:22:15+09:00
136,3,no,T0,primary,no,24.5,25.375,-0.875,False,True,516916,355214,821,"[14, 406]","[407, 799]",570,2026-08-11T13:22:15+09:00
2850,3,no,S,primary,yes,25.875,25.0,0.875,False,False,264155,46732,381,,,203,2026-08-11T13:22:16+09:00
2850,3,no,T0,primary,yes,26.125,25.0,1.125,False,False,264155,46732,729,"[14, 360]","[361, 707]",476,2026-08-11T13:22:16+09:00
2900,3,no,S,primary,no,26.125,26.25,-0.125,False,True,554002,255631,382,,,203,2026-08-11T13:22:16+09:00
2900,3,no,T0,primary,no,25.5,26.375,-0.875,False,True,554002,255631,684,"[14, 360]","[361, 661]",439,2026-08-11T13:22:17+09:00
22,3,no,S,primary,no,24.5,28.0,-3.5,False,True,211674,486568,358,,,193,2026-08-11T13:22:17+09:00
22,3,no,T0,primary,no,24.375,27.125,-2.75,False,True,211674,486568,559,"[14, 337]","[338, 537]",331,2026-08-11T13:22:17+09:00
540,3,no,S,primary,no,24.5,26.125,-1.625,False,True,498374,7795,427,,,247,2026-08-11T13:22:18+09:00
540,3,no,T0,primary,no,24.375,26.0,-1.625,False,True,498374,7795,775,"[14, 406]","[407, 753]",519,2026-08-11T13:22:18+09:00
898,3,no,S,primary,no,25.125,31.25,-6.125,False,True,354398,501898,428,,,245,2026-08-11T13:22:19+09:00
898,3,no,T0,primary,no,25.375,29.625,-4.25,False,True,354398,501898,776,"[14, 406]","[407, 753]",516,2026-08-11T13:22:19+09:00
2632,3,no,S,primary,no,24.75,31.625,-6.875,False,True,117527,383389,381,,,202,2026-08-11T13:22:19+09:00
2632,3,no,T0,primary,no,24.75,30.375,-5.625,False,True,117527,383389,775,"[14, 360]","[361, 753]",519,2026-08-11T13:22:20+09:00
1602,3,no,S,primary,no,25.125,26.375,-1.25,False,True,309371,333888,497,,,276,2026-08-11T13:22:20+09:00
1602,3,no,T0,primary,no,25.25,26.25,-1.0,False,True,309371,333888,891,"[14, 475]","[476, 868]",619,2026-08-11T13:22:21+09:00
