question_id,cell,gt,condition,template,pred,logit_yes,logit_no,margin,tie,correct,image1_id,image2_id,seq_len,img1_span,img2_span,elapsed_ms,ts
2160,3,no,S,primary,no,22.625,26.75,-4.125,False,True,279499,436582,382,,,270,2026-08-11T22:30:14+09:00
2160,3,no,T0,primary,no,21.5,26.0,-4.5,False,True,279499,436582,730,"[14, 360]","[361, 707]",577,2026-08-11T22:30:14+09:00
2692,3,no,S,primary,no,21.75,31.5,-9.75,False,True,265472,580608,270,,,173,2026-08-11T22:30:15+09:00
2692,3,no,T0,primary,no,21.125,28.5,-7.375,False,True,265472,580608,618,"[14, 249]","[250, 596]",461,2026-08-11T22:30:15+09:00
2740,3,no,S,primary,no,21.125,32.25,-11.125,False,True,50627,346482,427,,,314,2026-08-11T22:30:15+09:00
2740,3,no,T0,primary,no,21.5,30.25,-8.75,False,True,50627,346482,664,"[14, 406]","[407, 642]",527,2026-08-11T22:30:16+09:00
628,3,no,S,primary,no,23.25,29.375,-6.125,False,True,94944,487002,382,,,267,2026-08-11T22:30:16+09:00
628,3,no,T0,primary,no,21.75,27.25,-5.5,False,True,94944,487002,776,"[14, 360]","[361, 753]",625,2026-08-11T22:30:17+09:00
986,3,no,S,primary,no,21.125,32.25,-11.125,False,True,460931,267664,520,,,381,2026-08-11T22:30:17+09:00
986,3,no,T0,primary,no,22.375,29.375,-7.0,False,True,460931,267664,868,"[14, 499]","[500, 846]",714,2026-08-11T22:30:18+09:00
2038,3,no,S,primary,no,21.375,32.0,-10.625,False,True,363908,383163,381,,,268,2026-08-11T22:30:18+09:00
2038,3,no,T0,primary,no,21.25,28.75,-7.5,False,True,363908,383163,775,"[14, 360]","[361, 753]",629,2026-08-11T22:30:19+09:00
1232,3,no,S,primary,no,22.375,25.375,-3.0,False,True,49473,116479,254,,,155,2026-08-11T22:30:19+09:00
1232,3,no,T0,primary,no,22.125,25.75,-3.625,False,True,49473,116479,602,"[14, 231]","[232, 578]",440,2026-08-11T22:30:20+09:00
1562,3,no,S,primary,no,21.125,31.375,-10.25,False,True,408757,319830,335,,,246,2026-08-11T22:30:20+09:00
1562,3,no,T0,primary,no,21.875,29.375,-7.5,False,True,408757,319830,729,"[14, 314]","[315, 707]",585,2026-08-11T22:30:21+09:00
136,3,no,S,primary,no,22.375,26.25,-3.875,False,True,516916,355214,427,,,314,2026-08-11T22:30:21+09:00
136,3,no,T0,primary,no,21.875,26.125,-4.25,False,True,516916,355214,821,"[14, 406]","[407, 799]",680,2026-08-11T22:30:22+09:00
2850,3,no,S,primary,no,23.25,23.75,-0.5,False,True,264155,46732,381,,,267,2026-08-11T22:30:22+09:00
2850,3,no,T0,primary,no,21.5,22.75,-1.25,False,True,264155,46732,729,"[14, 360]","[361, 707]",578,2026-08-11T22:30:23+09:00
2900,3,no,S,primary,no,23.375,29.75,-6.375,False,True,554002,255631,382,,,267,2026-08-11T22:30:23+09:00
2900,3,no,T0,primary,no,22.375,28.125,-5.75,False,True,554002,255631,684,"[14, 360]","[361, 661]",541,2026-08-11T22:30:23+09:00
22,3,no,S,primary,no,22.75,31.0,-8.25,False,True,211674,486568,358,,,257,2026-08-11T22:30:24+09:00
22,3,no,T0,primary,no,21.625,28.0,-6.375,False,True,211674,486568,559,"[14, 337]","[338, 537]",413,2026-08-11T22:30:24+09:00
